#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2050.000000188265,-36235.98149305447,11375.63271015662,-24860.348782897847,304.0064885852013,14.9
2060.000000190302,-36410.446697476094,11200.337193853618,-25210.109503622476,299.7927504639619,14.9
2070.0000001923395,-36481.20238484088,11173.912557013842,-25307.289827827037,298.6661582541724,14.9
2080.0000001943768,-36261.79384337279,11094.41199496277,-25167.38184841002,295.8018656329716,14.9
2090.000000196414,-36953.22193316563,11073.239367264709,-25879.982565900922,295.67343577624183,14.9
2100.0000001984513,-36116.54385199798,11142.83667849835,-24973.707173499628,297.20932688024095,14.9
2110.0000002004886,-36857.86301783697,11179.20151541617,-25678.6615024208,298.48509006890765,14.9
2120.000000202526,-36665.45990452312,11053.396220385373,-25612.06368413775,295.6354740947011,14.9
2130.000000204563,-36520.239096915364,11136.389549783331,-25383.849547132035,298.2464696489067,14.9
2140.0000002066004,-36821.33993072484,10949.82298587491,-25871.51694484993,292.09576454002547,14.9
2150.0000002086376,-36816.86248890882,11165.748154379617,-25651.1143345292,298.06665913473,14.9
2160.000000210675,-36722.05260345706,10925.24591494058,-25796.806688516477,291.87511498267867,14.9
2170.000000212712,-36614.089952390306,11262.437191828323,-25351.652760561985,300.77437126228216,14.9
2180.0000002147494,-36618.59620777392,11278.217640379755,-25340.37856739416,301.93263889314215,14.9
2190.0000002167867,-36663.83222752773,11277.325999706343,-25386.506227821388,302.0755439615451,14.9
2200.000000218824,-36451.34210919371,11035.199154742862,-25416.14295445085,295.72753078512255,14.9
2210.0000002208612,-36597.16007494349,10890.759261553538,-25706.400813389948,291.4089285322789,14.9
2220.0000002228985,-36657.37026940855,11335.149547453342,-25322.220721955207,302.3051766321204,14.9
2230.000000224936,-37063.65912206521,11083.347627927378,-25980.311494137834,296.0339222784022,14.9
2240.000000226973,-36300.84649936849,10770.698945053387,-25530.147554315103,286.9977127071212,14.9
2250.0000002290103,-36156.376653949425,11060.997210565287,-25095.37944338414,295.6580989676048,14.9
2260.0000002310476,-36764.0755445277,11516.901740176581,-25247.17380435112,307.4156659772087,14.9
2270.000000233085,-36371.56565198343,11020.595207101356,-25350.970444882074,295.0955451841986,14.9
2280.000000235122,-36616.891715251084,11142.182174401772,-25474.70954084931,297.7521575939314,14.9
2290.0000002371594,-36900.65832028356,11081.55715678503,-25819.101163498533,297.1928790886038,14.9
2300.0000002391967,-36445.89968637,11275.92851773187,-25169.97116863813,301.2192765270925,14.9
2310.000000241234,-36481.36130625716,11259.031826705126,-25222.329479552034,300.62428429036714,14.9
2320.000000243271,-36517.08973236957,11238.843279842049,-25278.24645252752,299.6919055269555,14.9
2330.0000002453085,-36283.63969079169,11323.643155586535,-24959.99653520516,302.88591781336834,14.9
2340.0000002473457,-37103.12316548748,11059.14640008381,-26043.97676540367,294.91249354814323,14.9
2350.000000249383,-36843.266460559316,11154.227574863078,-25689.038885696238,297.68204146377343,14.9
2360.0000002514203,-36473.12658129662,11018.509168576029,-25454.617412720596,293.0667542373926,14.9
2370.0000002534575,-36632.100327158965,11258.038552543614,-25374.06177461535,301.07989499795605,14.9
2380.000000255495,-36241.9422139942,11035.800427104063,-25206.14178689014,294.53841875859763,14.9
2390.000000257532,-36867.45012359796,11221.453343869138,-25645.996779728826,299.4986847840845,14.9
2400.0000002595693,-37105.66845973442,11134.826743581592,-25970.841716152827,297.29045919780634,14.9
2410.0000002616066,-36822.28900208758,11031.895778511687,-25790.39322357589,294.19943652338685,14.9
2420.000000263644,-36862.04824213605,10968.82625165225,-25893.2219904838,292.72485813989175,14.9
2430.000000265681,-36486.15753523624,10947.718140869538,-25538.439394366702,292.98482383630846,14.9
2440.0000002677184,-36460.531439388484,11272.158163128748,-25188.373276259736,301.78556358686006,14.9
2450.0000002697557,-36495.22689710977,11381.643431731763,-25113.58346537801,304.882599299147,14.9
2460.000000271793,-36223.29085378574,10957.373548162102,-25265.917305623632,292.7383102322169,14.9
2470.00000027383,-36277.74569645384,11163.76142387504,-25113.984272578804,297.73535902380985,14.9
2480.0000002758675,-36710.30851978307,10984.686589627643,-25725.62193015543,293.51109709396536,14.9
2490.0000002779047,-36722.52868783807,11460.922342697904,-25261.606345140168,306.4370470641546,14.9
2500.000000279942,-36917.16269609281,11075.534932851726,-25841.627763241086,296.2127461723944,14.9
2510.0000002819793,-36456.68303731261,10894.74844652281,-25561.934590789795,290.47237513104585,14.9
2520.0000002840166,-36356.69553574527,10952.198499736127,-25404.49703600914,291.78167860082925,14.9
2530.000000286054,-36574.68067735974,10935.24598565673,-25639.434691703013,292.07945804063905,14.9
2540.000000288091,-36682.65252147213,11149.426659984767,-25533.225861487364,297.3639621769801,14.9
2550.0000002901284,-36528.29831119702,11069.519222525123,-25458.779088671894,296.082863823806,14.9
2560.0000002921656,-36460.34931457881,11308.165172747507,-25152.1841418313,301.9032872272601,14.9
2570.000000294203,-36163.72086514306,11241.038339171597,-24922.682525971468,299.49397655759213,14.9
2580.00000029624,-36700.97152166305,10982.015688692169,-25718.95583297088,293.5313900338692,14.9
2590.0000002982774,-36448.11938117917,10953.226957885408,-25494.892423293757,292.36227292725755,14.9
2600.0000003003147,-36318.12891564263,11117.497858507919,-25200.63105713471,297.5249504480106,14.9
2610.000000302352,-36634.30042854629,11266.286947516308,-25368.01348102998,300.9967019586793,14.9
2620.0000003043892,-36220.23786554211,11188.982557296351,-25031.25530824576,299.45587529703715,14.9
2630.0000003064265,-36371.88483802721,10956.024408652835,-25415.860429374377,293.6899261901385,14.9
2640.0000003084638,-36731.59352946735,10909.591367709163,-25822.002161758184,291.60070710644493,14.9
2650.000000310501,-36587.383518869785,11149.499409483438,-25437.884109386345,297.32660447237777,14.9
2660.0000003125383,-36759.66162248987,11180.070290364967,-25579.591332124903,299.13930362943563,14.9
2670.0000003145756,-36503.61229090071,11152.712328809432,-25350.89996209128,297.9304503491212,14.9
2680.000000316613,-36589.27329480709,11291.554612894752,-25297.718681912338,302.5583250553208,14.9
2690.00000031865,-36610.77302543634,11299.332184178047,-25311.440841258292,301.2132699418882,14.9
2700.0000003206874,-36878.59628386791,11261.617661884313,-25616.9786219836,300.8186193245469,14.9
2710.0000003227246,-36530.50563876713,11025.132643729869,-25505.372995037258,293.9809252570417,14.9
2720.000000324762,-36928.076045743044,11291.512284602364,-25636.56376114068,301.47636200479144,14.9
2730.000000326799,-36631.19398187497,11333.791914695257,-25297.40206717971,302.9746951615241,14.9
2740.0000003288364,-36764.29368483574,11389.284985231512,-25375.00869960423,304.0673988652344,14.9
2750.0000003308737,-36539.82558253698,11262.196543569087,-25277.62903896789,301.0400459148502,14.9
2760.000000332911,-36164.91719364204,11305.574740491747,-24859.34245315029,301.77277259041466,14.9
2770.0000003349483,-36206.576785614416,10979.190042095594,-25227.386743518822,293.77116700822654,14.9
2780.0000003369855,-36685.510849815255,11176.716800514572,-25508.794049300683,299.293243757489,14.9
2790.000000339023,-36727.77319020397,10942.24209443711,-25785.531095766855,291.7662891315386,14.9
2800.00000034106,-36952.85435780334,10954.37736390701,-25998.476993896333,292.95536697203033,14.9
2810.0000003430973,-36852.45554732325,11349.304145284787,-25503.15140203846,302.02900822149036,14.9
2820.0000003451346,-36759.048739031896,11060.37511863011,-25698.673620401787,295.27105049221416,14.9
2830.000000347172,-36947.74944884802,11262.508870462309,-25685.240578385714,300.95396322484476,14.9
2840.000000349209,-36648.63139227953,10891.64176697136,-25756.98962530817,290.3709811704375,14.9
2850.0000003512464,-36892.02335715792,11013.676634401254,-25878.34672275667,294.2294200348336,14.9
2860.0000003532837,-36456.80268104324,11520.895717117453,-24935.906963925787,308.65598876071556,14.9
2870.000000355321,-36543.492334722716,11065.20313994246,-25478.289194780256,295.44830343511285,14.9
2880.000000357358,-36632.23574777713,11212.308903798268,-25419.92684397886,299.85452430182556,14.9
2890.0000003593955,-36866.25811879516,11118.514627590721,-25747.743491204437,295.8770291695715,14.9
2900.0000003614327,-36540.1748976625,11015.52027501954,-25524.654622642964,294.5679413929019,14.9
2910.00000036347,-36266.251014968366,10967.448970386746,-25298.802044581622,292.8130950587621,14.9
2920.0000003655073,-36578.54231546884,10843.354931325703,-25735.187384143137,289.8393596671102,14.9
2930.0000003675445,-36375.04073418604,11264.804009513044,-25110.236724673,300.7040811140825,14.9
2940.000000369582,-36756.83409335551,11132.93989489708,-25623.89419845843,296.4451354619339,14.9
