#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
1560000,  779.9999999850114,  -34551.87786767845,  11101.752534360041,  -23450.125333318407,  296.7269605854738,  158
1570000,  784.9999999848932,  -34473.38635430146,  11084.6028970142,  -23388.78345728726,  295.89013410383035,  158
1580000,  789.999999984775,  -34282.64224504725,  11024.036894368763,  -23258.60535067849,  294.90544312497764,  158
1590000,  794.9999999846567,  -34738.53224337607,  11117.986767332646,  -23620.545476043422,  296.87778362750583,  158
1600000,  799.9999999845385,  -34613.259305407584,  11328.43652884242,  -23284.822776565165,  301.71070038961057,  158
1610000,  804.9999999844202,  -34668.76256011014,  11217.506375201237,  -23451.256184908903,  299.5504449594418,  158
1620000,  809.999999984302,  -34449.9136703372,  11412.808977413133,  -23037.104692924066,  305.37027779492956,  158
1630000,  814.9999999841838,  -34394.56950460847,  11313.12393491813,  -23081.445569690342,  302.16816320052976,  158
1640000,  819.9999999840655,  -34628.40521079057,  11214.168842581206,  -23414.236368209367,  299.77875116993914,  158
1650000,  824.9999999839473,  -34351.85293911922,  11160.825841375356,  -23191.027097743863,  298.3277760897231,  158
1660000,  829.9999999838291,  -34996.73971206966,  11181.58411950461,  -23815.155592565054,  298.409928932374,  158
1670000,  834.9999999837108,  -34278.49828753675,  11104.459188441822,  -23174.039099094927,  297.1534925188977,  158
1680000,  839.9999999835926,  -34517.87242232131,  11227.921942519817,  -23289.95047980149,  300.8955503586343,  158
1690000,  844.9999999834744,  -34838.690121160544,  11202.734322622275,  -23635.95579853827,  299.7051269774797,  158
1700000,  849.9999999833561,  -34829.455104661094,  11098.266044885293,  -23731.189059775803,  297.1144101733734,  158
1710000,  854.9999999832379,  -34712.051847669114,  10982.008249342842,  -23730.043598326272,  294.9199436736036,  158
1720000,  859.9999999831197,  -34229.25204189644,  11099.78967364278,  -23129.462368253662,  296.27499386063636,  158
1730000,  864.9999999830014,  -34147.08095681518,  11286.646559872834,  -22860.43439694235,  301.7700003299344,  158
1740000,  869.9999999828832,  -34489.95437380637,  11292.407711251926,  -23197.546662554447,  301.8693220058254,  158
1750000,  874.999999982765,  -33926.091395941345,  11437.062328721633,  -22489.02906721971,  305.79829250187487,  158
1760000,  879.9999999826467,  -34228.00863192008,  11380.189476068199,  -22847.81915585188,  303.31933208547645,  158
1770000,  884.9999999825285,  -34863.24652441343,  10996.510690551171,  -23866.735833862258,  294.2088918907578,  158
1780000,  889.9999999824103,  -34168.837713138535,  11051.455413598826,  -23117.38229953971,  295.7914652949167,  158
1790000,  894.999999982292,  -34308.55261590114,  10989.99093499785,  -23318.561680903294,  294.1146740005607,  158
1800000,  899.9999999821738,  -34801.882015968535,  10865.783189030439,  -23936.098826938098,  290.06011184662793,  158
1810000,  904.9999999820556,  -34805.02715682034,  11223.388240139895,  -23581.638916680444,  300.01079906273367,  158
1820000,  909.9999999819373,  -34810.62398733069,  11313.34797849143,  -23497.27600883926,  302.82501019527257,  158
1830000,  914.9999999818191,  -34306.30345443303,  11177.176008824119,  -23129.12744560891,  298.63237254655957,  158
1840000,  919.9999999817009,  -34257.43335259195,  11184.896927193828,  -23072.536425398124,  298.2603478946993,  158
1850000,  924.9999999815826,  -34548.66308399144,  11142.119949580061,  -23406.543134411382,  297.93922803292924,  158
1860000,  929.9999999814644,  -34800.41402836882,  11380.564021126038,  -23419.850007242778,  304.5869326696723,  158
1870000,  934.9999999813461,  -34801.528598359866,  11211.810962932957,  -23589.71763542691,  299.30659349249873,  158
1880000,  939.9999999812279,  -34364.42475850065,  11185.45967207011,  -23178.965086430544,  298.8495327611474,  158
1890000,  944.9999999811097,  -34801.08094887926,  10768.338438844365,  -24032.742510034892,  288.04806414291886,  158
1900000,  949.9999999809914,  -34436.30027874195,  11364.72450210931,  -23071.575776632635,  304.35612339653517,  158
1910000,  954.9999999808732,  -34595.17446914157,  11086.640248794383,  -23508.53422034719,  296.85932101513777,  158
1920000,  959.999999980755,  -33920.05487476473,  11150.369467471573,  -22769.68540729316,  297.92306671974006,  158
1930000,  964.9999999806367,  -34429.814330206944,  11439.29799324024,  -22990.516336966706,  306.01676524979865,  158
1940000,  969.9999999805185,  -34235.339164590696,  11238.960985495954,  -22996.37817909474,  300.506158372903,  158
1950000,  974.9999999804003,  -34447.69948948339,  10812.87378846284,  -23634.82570102055,  289.9902183372557,  158
1960000,  979.999999980282,  -34584.868161405335,  10951.249837240455,  -23633.61832416488,  293.2064761185496,  158
1970000,  984.9999999801638,  -34595.460723340526,  10960.351091257824,  -23635.109632082702,  293.5763592110952,  158
1980000,  989.9999999800456,  -34189.25304541087,  11389.193215818834,  -22800.059829592035,  304.43920625513647,  158
1990000,  994.9999999799273,  -34319.05129969731,  11269.387304173602,  -23049.66399552371,  301.88582104434954,  158
2000000,  999.9999999798091,  -34962.24105818275,  11320.366934895048,  -23641.8741232877,  301.9891311902166,  158
2010000,  1004.9999999796909,  -34951.1478974411,  11270.4235344992,  -23680.724362941903,  301.45126069907116,  158
2020000,  1009.9999999795726,  -34467.46975616943,  10837.599261054711,  -23629.870495114716,  289.0020940424292,  158
