#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2260.0000002310476,-36505.84195417085,11065.136961363274,-25440.704992807576,295.7097427351184,14.9
2270.000000233085,-36688.26602588246,11042.463140812384,-25645.80288507008,294.6998454785641,14.9
2280.000000235122,-36952.825306952305,11027.887599717518,-25924.937707234785,294.1514638183588,14.9
2290.0000002371594,-36577.309296607535,11225.700473328916,-25351.60882327862,299.39811234283565,14.9
2300.0000002391967,-36933.43843326281,10898.687289514208,-26034.751143748603,290.90759391359416,14.9
2310.000000241234,-36501.557041941,10912.13250500726,-25589.42453693374,291.1134379951121,14.9
2320.000000243271,-36763.318623922845,11203.413011785295,-25559.90561213755,298.84315881983355,14.9
2330.0000002453085,-36626.96235001076,11002.650936328226,-25624.31141368254,293.2701027860452,14.9
2340.0000002473457,-36422.84551520282,11149.841287354033,-25273.004227848785,297.5576731614564,14.9
2350.000000249383,-36538.85314029462,11359.193082244425,-25179.66005805019,303.24905435597947,14.9
2360.0000002514203,-36410.66082819035,11240.027817149325,-25170.63301104102,299.975220112013,14.9
2370.0000002534575,-37119.20887586683,11161.561156136291,-25957.647719730543,297.61181188559476,14.9
2380.000000255495,-37056.600152034494,11389.250156920481,-25667.34999511401,304.5915159046213,14.9
2390.000000257532,-36858.57192145801,11219.598735102263,-25638.973186355746,300.0778113139205,14.9
2400.0000002595693,-36843.543371357824,11180.842012838226,-25662.701358519596,298.9817538090529,14.9
2410.0000002616066,-36740.969231344425,10940.700867440706,-25800.26836390372,292.6907517718034,14.9
2420.000000263644,-36948.86907552583,10963.40775423158,-25985.46132129425,292.70424221687637,14.9
2430.000000265681,-36494.31356026275,11064.988479150345,-25429.32508111241,295.3215988303956,14.9
2440.0000002677184,-36715.57573270951,11282.083113419334,-25433.492619290177,301.5365635883659,14.9
2450.0000002697557,-37033.2182730747,11460.189828570408,-25573.028444504293,305.93329568055566,14.9
2460.000000271793,-36823.39137750131,11256.407929709458,-25566.983447791856,301.6670676706108,14.9
2470.00000027383,-36933.61082910101,11238.403592613937,-25695.207236487073,300.1216578078833,14.9
2480.0000002758675,-36753.70140486004,10960.494321207096,-25793.207083652946,292.8374533249652,14.9
2490.0000002779047,-36664.571592379056,11285.787117796377,-25378.78447458268,301.90681082323437,14.9
2500.000000279942,-37202.79098640679,11158.662514713124,-26044.128471693668,298.5187566367213,14.9
2510.0000002819793,-36903.452015545445,11182.34613280436,-25721.105882741085,298.38942087434117,14.9
